bad,15
weary,15
omer,15
fulfil,15
sufferings,15
plainness,15
use,15
bind,15
willing,15
red,15
taking,15
chains,15
receiveth,15
stirred,15
leaders,15
punishment,15
carnal,15
got,15
ran,15
counsel,15
boast,15
happened,15
sure,15
korihor,15
mountain,15
overtake,15
dwindle,15
wonders,15
obey,15
increase,14
aside,14
transgressions,14
cords,14
gifts,14
condemn,14
comforted,14
determined,14
henceforth,14
waste,14
gained,14
daughter,14
moron,14
com,14
punished,14
commenced,14
forgotten,14
creation,14
abroad,14
consecrated,14
deliverance,14
overcome,14
supposing,14
graft,14
sworn,14
money,14
field,14
courage,14
overpower,14
thyself,14
covered,14
reigned,14
path,14
finger,14
quick,14
amongst,14
apparel,14
belief,14
sun,14
strongholds,14
fold,14
lamanite,14
ministered,14
swear,14
circumstances,13
travel,13
persecute,13
proud,13
almighty,13
dark,13
image,13
consider,13
plans,13
isaac,13
idols,13
shut,13
affliction,13
rule,13
air,13
retreat,13
shared,13
struck,13
reap,13
traveled,13
building,13
statutes,13
revealed,13
attack,13
vengeance,13
fierce,13
ear,13
force,13
abundance,13
nearly,13
seal,13
fill,13
defence,13
comfort,13
extended,13
paths,13
buildings,13
otherwise,13
oaths,13
humility,13
shiblon,13
delighteth,13
swept,13
prey,13
corrupted,13
believing,13
apostles,13
grieved,13
bows,13
kill,13
strict,13
horses,13
feed,13
dumb,13
plainly,13
afraid,13
giddianhi,13
household,12
fit,12
wast,12
bitter,12
endure,12
yoke,12
offer,12
falling,12
wounds,12
pleasing,12
corihor,12
jew,12
lehonti,12
compassion,12
smoke,12
crimes,12
steal,12
suffereth,12
condemned,12
seest,12
learning,12
touch,12
boldly,12
reject,12
fully,12
whithersoever,12
bowed,12
plunder,12
conditions,12
shine,12
powerful,12
zenos,12
contain,12
belonged,12
portion,12
attempt,12
bar,12
fields,12
zoram,12
sat,12
delight,12
savior,12
mattereth,12
speaketh,12
armed,12
ancient,12
alive,12
measure,12
victory,12
weak,12
heal,12
rob,12
guilty,12
execute,12
profit,12
multiply,12
hungry,12
ephraim,12
retained,12
boldness,12
